K,L,word,C_w,A,denominator,q_num,q_den,q_decimal,residue_bits,q_mod_2_power
3,2,1 2,5,3,-1,-5,1,-5,4,11
4,3,1 1 2,19,4,-11,-19,11,-1.72727272727,5,7
5,4,1 1 1 2,65,5,-49,-65,49,-1.32653061224,6,47
6,4,1 1 1 3,65,6,-17,-65,17,-3.82352941176,7,79
6,4,1 1 2 2,73,6,-17,-73,17,-4.29411764706,7,71
6,5,1 1 1 1 2,211,6,-179,-211,179,-1.17877094972,7,31
7,5,1 1 1 1 3,211,7,-115,-211,115,-1.8347826087,8,223
7,5,1 1 1 2 2,227,7,-115,-227,115,-1.97391304348,8,47
7,5,1 1 2 1 2,251,7,-115,-251,115,-2.18260869565,8,167
7,6,1 1 1 1 1 2,665,7,-601,-665,601,-1.10648918469,8,191
8,6,1 1 1 1 1 3,665,8,-473,-665,473,-1.40591966173,9,319
8,6,1 1 1 1 2 2,697,8,-473,-697,473,-1.47357293869,9,31
8,6,1 1 1 2 1 2,745,8,-473,-745,473,-1.57505285412,9,111
8,7,1 1 1 1 1 1 2,2059,8,-1931,-2059,1931,-1.06628689798,9,127
9,6,1 1 1 1 1 4,665,9,-217,-95,31,-3.06451612903,10,63
9,6,1 1 1 1 2 3,697,9,-217,-697,217,-3.21198156682,10,799
9,6,1 1 1 1 3 2,761,9,-217,-761,217,-3.5069124424,10,223
9,6,1 1 1 2 1 3,745,9,-217,-745,217,-3.4331797235,10,879
9,6,1 1 1 2 2 2,809,9,-217,-809,217,-3.72811059908,10,303
9,6,1 1 1 3 1 2,905,9,-217,-905,217,-4.17050691244,10,463
9,6,1 1 2 1 1 3,817,9,-217,-817,217,-3.76497695853,10,487
9,6,1 1 2 1 2 2,881,9,-217,-881,217,-4.0599078341,10,935
9,6,1 1 2 2 1 2,977,9,-217,-977,217,-4.50230414747,10,71
9,7,1 1 1 1 1 1 3,2059,9,-1675,-2059,1675,-1.22925373134,10,895
9,7,1 1 1 1 1 2 2,2123,9,-1675,-2123,1675,-1.26746268657,10,703
9,7,1 1 1 1 2 1 2,2219,9,-1675,-2219,1675,-1.3247761194,10,415
